Station,Adresse,postnr,by,ny_gammel
Enghave Plads Station,Enghave Plads 6,1670,København V,ny
Frederiksberg Allé Station,Frederiksberg Allé 41,1820,Frederiksberg C,ny
Frederiksberg Station,Solbjergvej 2D,2000,Frederiksberg,ny
Aksel Møllers Have Station,Aksel Møllers Have 10,2000,Frederiksberg,ny
Nuuks Plads Station,Jagtvej 9,2200,København N,ny
Nørrebros Runddel Station,Nørrebrogade 151,2200,København N,ny
Nørrebro Station,Nørrebrogade 253,2200,København N,ny
Nordhavn Station,Østbanegade 120,2100,København Ø,ny
Orientkaj Station,Klubiensvej 11,2150,Nordhavn,ny
Vanløse station,Vanløse Torv 5,2720,Vanløse,Gammel
Flintholm station,Flintholm Allé 55,2000,Frederiksberg,Gammel
Lindevang station,Dalgas Boulevard 142,2000,Frederiksberg,Gammel
Fasanvej (Solbjerg) station,Nordre Fasanvej 26D,2000,Frederiksberg ,Gammel
Frederiksberg station,Solbjergvej 2D,2000,Frederiksberg ,Gammel
Forum station,Rosenørns Allé 17,1970,Frederiksberg C ,Gammel
Nørreport station,Frederiksborggade 13,1360,København K,Gammel
Kongens Nytorv station,Kongens Nytorv 11,1050,København K,Gammel
Christianshavn station,Torvegade 44,1400,København K ,Gammel
Islands Brygge station,Njalsgade 70,2300,København S,Gammel
DR Byen (Universitetet station),Ørestads Boulevard 21,2300,København S,Gammel
Sundby station,Ørestads Boulevard 25,2300,København S,Gammel
Bella Center station,Ørestads Boulevard 39,2300,København S,Gammel
Ørestad station,Ørestads Boulevard 89,2300,København S,Gammel
Vestamager station,Ørestads Boulevard 99,2300,København S,Gammel
Amagerbro station,Amagerbro Torv 1,2300,København S,Gammel
Lergravsparken station,Østrigsgade 61,2300,København S,Gammel
Øresund station,Øresundsvej 146,2300,københavn S,Gammel
Amager Strand,Italiensvej 72A,2300,københavn S,Gammel
Femøren station,Hedegårdsvej 50,2300,københavn S,Gammel
Kastrup station,Ved Stationen 1,2770,Kastrup,Gammel
Lufthavnen station,P-7 Ellehammervej,2770,Kastrup,Gammel
Hovedbanegården,Bernstorffsgade 16,1577,København V,Ny
Rådhuspladsen station,Rådhuspladsen 1,1550,København V,Ny
Gammel strand station,Gammel Strand 48,1202,København K,Ny
Mamorkirken station,Frederiksgade 4,1265,København K,Ny
Østerport station,Oslo Plads 8,2100,København Ø,Ny
Trianglen station,Øster Søgade 114,2100,København Ø,Ny
Poul Henningsens Plads station,Reersøgade 8B,2100,København Ø,Ny
Vibenshus Runddel station,Jagtvej 175,2100,København Ø,Ny
Skjolds Plads station,Haraldsgade 9,2200,København N,Ny
