"","X.U.FEFF.Station","Adresse","postnr","by","ny_gammel","adresse_scraping","height?","lat","lon"
"1","Enghave Plads Station","Enghave Plads 6",1670,"København V","ny","https://www.google.dk/maps/place/Enghave+Plads+6,+1670+København+V","   2250.230249846292",12.5470256,55.66759
"2","Frederiksberg Allé Station","Frederiksberg Allé 41",1820,"Frederiksberg C","ny","https://www.google.dk/maps/place/Frederiksberg+Allé+41,+1820+Frederiksberg+C","   2249.879868083862",12.54063,55.673688
"3","Frederiksberg Station","Solbjergvej 2D",2000,"Frederiksberg","ny","https://www.google.dk/maps/place/Solbjergvej+2D,+2000+Frederiksberg","   2249.440489169109",12.533555,55.681327
"4","Aksel Møllers Have Station","Aksel Møllers Have 10",2000,"Frederiksberg","ny","https://www.google.dk/maps/place/Aksel+Møllers+Have+10,+2000+Frederiksberg","   2249.177377521288",12.5323764,55.6859
"5","Nuuks Plads Station","Jagtvej 9",2200,"København N","ny","https://www.google.dk/maps/place/Jagtvej+9,+2200+København+N","   2249.01822214965",12.542084,55.6886698
"6","Nørrebros Runddel Station","Nørrebrogade 151",2200,"København N","ny","https://www.google.dk/maps/place/Nørrebrogade+151,+2200+København+N","   2248.698699216933",12.5482365,55.69422
"7","Nørrebro Station","Nørrebrogade 253",2200,"København N","ny","https://www.google.dk/maps/place/Nørrebrogade+253,+2200+København+N","   2248.323130652322",12.5385496,55.70075
"8","Nordhavn Station","Østbanegade 120",2100,"København Ø","ny","https://www.google.dk/maps/place/Østbanegade+120,+2100+København+Ø","   2248.099618726921",12.590981,55.704639
"9","Orientkaj Station","Klubiensvej 11",2150,"Nordhavn","ny","https://www.google.dk/maps/place/Klubiensvej+11,+2150+Nordhavn","   2247.787974546053",12.5994569,55.71005
"10","Vanløse station","Vanløse Torv 5",2720,"Vanløse","Gammel","https://www.google.dk/maps/place/Vanløse+Torv+5,+2720+Vanløse","   2249.093328540101",12.490791,55.687364
"11","Flintholm station","Flintholm Allé 55",2000,"Frederiksberg","Gammel","https://www.google.dk/maps/place/Flintholm+Allé+55,+2000+Frederiksberg","   2249.203012370695",12.499963,55.685457
"12","Lindevang station","Dalgas Boulevard 142",2000,"Frederiksberg","Gammel","https://www.google.dk/maps/place/Dalgas+Boulevard+142,+2000+Frederiksberg","   2249.30910480543",12.5124844,55.683612
"13","Fasanvej (Solbjerg) station","Nordre Fasanvej 26D",2000,"Frederiksberg ","Gammel","https://www.google.dk/maps/place/Nordre+Fasanvej+26D,+2000+Frederiksberg+","   2249.418864252651",12.5229598,55.6817
"14","Frederiksberg station","Solbjergvej 2D",2000,"Frederiksberg ","Gammel","https://www.google.dk/maps/place/Solbjergvej+2D,+2000+Frederiksberg+","   2249.440489169109",12.533555,55.681327
"15","Forum station","Rosenørns Allé 17",1970,"Frederiksberg C ","Gammel","https://www.google.dk/maps/place/Rosenørns+Allé+17,+1970+Frederiksberg+C+","   2249.422205768677",12.5545334,55.68164
"16","Nørreport station","Frederiksborggade 13",1360,"København K","Gammel","https://www.google.dk/maps/place/Frederiksborggade+13,+1360+København+K","   2249.306091044054",12.5715575,55.68366
"17","Kongens Nytorv station","Kongens Nytorv 11",1050,"København K","Gammel","https://www.google.dk/maps/place/Kongens+Nytorv+11,+1050+København+K","   2249.549394456766",12.5851371,55.67943
"18","Christianshavn station","Torvegade 44",1400,"København K ","Gammel","https://www.google.dk/maps/place/Torvegade+44,+1400+København+K+","   2249.961838879274",12.5910884,55.67226
"19","Islands Brygge station","Njalsgade 70",2300,"København S","Gammel","https://www.google.dk/maps/place/Njalsgade+70,+2300+København+S","   2250.461213015906",12.585248,55.663578
"20","DR Byen (Universitetet station)","Ørestads Boulevard 21",2300,"København S","Gammel","https://www.google.dk/maps/place/Ørestads+Boulevard+21,+2300+København+S","   2250.899084589496",12.588936,55.655963
